Rank,Title,CEO,imagenames,fem_bios,fem_bio_links
10,General Motors,Mary T. Barra,MaryBarra,"Ms. Mary T. Barra serves as the Chief Executive Officer of General Motors of Canada Limited. Ms. Barra has been the Chief Executive Officer of General Motors Company January 15, 2014. She was named one of Automotive News' 100 Leading Women in the North American Auto Industry“ in 2005 and again in 2010. In 2010, she earned Kettering Alumni Association's Management Achievement Award for her specific contributions with positive and lasting effects in the field of management. She received a GM fellowship to the Stanford Graduate School of Business. Ms. Barra holds a Bachelor of Science degree in electrical engineering from General Motors Institute (Kettering University) in 1985. She holds an MBA in Business Administration from Stanford Graduate School of Business in 1990.",https://www.bloomberg.com/research/stocks/people/person.asp?personId=40221799&privcapId=61206100
29,Anthem,Gail K. Boudreaux,GailBoudreaux,"Ms. Gail Koziara Boudreaux has been President, Chief Executive Officer and Director of Anthem, Inc. since November 11, 2017. She has been honored as one of Fortune's 50 Most Powerful Women in American Business for the last six years and was recognized by Modern Healthcare as one of the Top 25 Women in Healthcare. Ms. Boudreaux holds an M.B.A. degree in Finance and Health Care Administration from the Columbia Business School and a Bachelor's degree in Psychology from Dartmouth College.",https://www.bloomberg.com/research/stocks/people/person.asp?personId=2461533&privcapId=160077
34,IBM,Virginia M. Rometty,VirginiaRometty,"Ms. Virginia M. Rometty, also known as Ginni, has been the Chairman of International Business Machines Corporation (also known as IBM Corp.) since October 1, 2012 and also has been its Chief Executive Officer and President since January 1, 2012. She is a frequent speaker at industry and business conferences around the world, the recipient of the Carl Sloane Award 2006, given by the Association of Management Consulting Firms and was named among Fortune Magazine's “50 Most Powerful Women in Business” in 2005 and 2006 and was named among Time magazine's 2002 Global Business Influential. She holds a Bachelor of Science degree with high honors in computer science and electrical engineering from the Northwestern University.",https://www.bloomberg.com/research/stocks/private/person.asp?personId=23314014&privcapId=112350
45,PepsiCo,Indra K. Nooyi,IndraNooyi,"Ms. Indra K. Nooyi, M.P.P.M., has been an Independent Director of International Cricket Council since June 2018. Ms. Nooyi has been the Chairman of the Board of PepsiCo, Inc. since May 2, 2007 and served as its Chief Executive Officer from October 1, 2006 to October 3, 2018.   Ms. Nooyi graduated from Madras Christian College in India with a degree in Chemistry, Physics and Math and earned a Master's Degree in Finance and Marketing from the Indian Institute of Management in Calcutta and a Master's Degree in Public and Private Management from Yale University's School of Organization and Management.",https://www.bloomberg.com/research/stocks/private/person.asp?personId=185599&privcapId=27221810
59,Lockheed Martin,Marillyn A. Hewson,MarillynHewson,"Ms. Marillyn A. Hewson has been the Chief Executive Officer and President of Lockheed Martin Corporation since January 1, 2013 and has been its Chairman since January 1, 2014. Ms. Hewson has been selected by Fortune magazine as one of the “50 Most Powerful Women in Business” for the past five years and was named #4 in 2014. Ms. Hewson was named #21 on the Forbes “World’s 100 Most Powerful Women” list in 2014. Ms. Hewson holds Bachelor’s Science in Business Administration from University of Alabama, Master of Arts in Economics from University of Alabama, Attended Columbia Business School and Executive Development Program from Harvard Business School.",https://www.bloomberg.com/research/stocks/private/person.asp?personId=3110423&privcapId=285827
82,Oracle,Safra A. Catz,SafraCatz,"Ms. Safra Ada Catz has been the Chief Executive Officer of Oracle Corporation since September 17, 2014. Ms. Catz served as the President of Oracle Corporation from January 2004 to September 2014 and served as its Chief Financial Officer from April 25, 2011 until September 2014. Ms. Catz served as Chief Financial Officer of Oracle Corporation from November 15, 2005 to September 2008 and also served as its Interim Chief Financial Officer from April 2005 to July 2005.",https://www.bloomberg.com/research/stocks/people/person.asp?personId=505784&privcapId=22247
99,General Dynamics,Phebe N. Novakovic,PhebeNovakovic,"Ms. Phebe N. Novakovic has been the Chairman and Chief Executive Officer of General Dynamics Corporation since January 1, 2013 and has been its Director since May 2012. Ms. Novakovic served as the President and Chief Operating Officer at General Dynamics Corporation from May 2, 2012 to December 2012. She served as an Executive Vice President of General Dynamics Marine Systems, Inc., from May 01, 2010 to May 2012.",https://www.bloomberg.com/research/stocks/private/person.asp?personId=3375382&privcapId=274561
112,Progressive,Susan Patricia Griffith,SusanGriffith,"Ms. Susan Patricia Griffith, also known as Tricia, has been the Chief Executive Officer and President of Progressive Corp. since July 1, 2016. Ms. Griffith was named one of FORTUNE magazine’s “Most Powerful Women in Business” in 2016 and 2017. She has a Bachelor's Degree from Illinois State University and is a graduate of the Wharton School of Business’s Advanced Management Program.",https://www.bloomberg.com/research/stocks/people/person.asp?personId=4905661&privcapId=33352
125,Duke Energy,Lynn J. Good,LynnGood,"Ms. Lynn J. Good has been the Chairman of the Board of Edison Electric Institute since June 2018. Ms. Good serves as the President at Duke Energy Carolinas, LLC since July 1, 2013. Ms. Good has been the Chief Executive Officer of Duke Energy Carolinas, LLC and Duke Energy Progress, LLC since July 1, 2013. Ms. Good serves as the Chief Executive Officer of Piedmont Natural Gas Co. Inc. She has been the Chief Executive Officer of Duke Energy Indiana, LLC since July 2013 and was its President since July 2013. In 2014 and 2015, Fortune magazine listed her as 13th among the 'Most Powerful Women in Business.' and in 2013, she was named as one of the 10 most influential people in the energy sector by SNL Energy. Ms. Good holds a Bachelor of Science in Systems Analysis and in Accounting from Miami University, Oxford, Ohio in 1981.",https://www.bloomberg.com/research/stocks/people/person.asp?personId=5646475&privcapId=267850
157,Kohls,Michelle D. Gass,MichelleGass,"Ms. Michelle D. Gass serves as Chief Executive Officer and Director of Kohl's Corporation since May 16, 2018. Ms. Gass was the Chief Merchandising & Customer Officer at Kohl's Corporation since June 2015 until May 2, 2018. She serves as the Chief Merchandising & Customer Officer at Kohl's Department Stores, Inc. She holds Master in Business Administration from University of Washington and Bachelor of Science in Chemical Engineering from Worcester Polytechnic Institute.",https://www.bloomberg.com/research/stocks/people/person.asp?personId=20594491&privcapId=61243
168,PG& E Corp.,Geisha J. Williams,GeishaWilliams,"Geisha J. Williams is Chief Executive Officer and President of PG&E Corporation. She joined the company in 2007, and has more than three decades of experience in the energy industry. Under Williams’ leadership, PG&E is responsible for providing safe, reliable, affordable and clean energy to 16 million people in northern and central California. In her prior role as President, Electric, Williams led PG&E’s electric business, including transmission, distribution, power generation, nuclear operations, energy procurement and customer care. During her tenure at PG&E, the company has become a leader in renewables integration, grid modernization and smart grid technologies, while also achieving the best electric reliability in company history.",https://www.crunchbase.com/person/geisha-williams#section-overview
173,Synchrony Financial,Margaret M. Keane,MargaretKeane,"Ms. Margaret M. Keane serves as Director of Allstate Corp. since January 1, 2018 and has been Chief Executive Officer and President of Synchrony Financial since February 2014. Ms. Keane has been the Chief Executive Officer and President of Retail Consumer Finance of Americas Operations at General Electric Company since November 29, 2005. Ms. Keane serves as Chief Executive Officer of Retail Finance and President of Retail Finance GE Money Bank (Stamford, CT). Ms. Keane holds a BA in Government/politics and an MBA from St. John's University in Queens, NY.",https://www.bloomberg.com/research/stocks/people/person.asp?personId=25004022&privcapId=260334235
209,Ross Stores,Barbara Rentler,BarbaraRentler,"Ms. Barbara Rentler has been the Chief Executive Officer of Ross Stores Inc since June 2014. Ms. Rentler served as the President and Chief Merchandising Officer of Ross Dress for Less at Ross Stores Inc since December 2009 until June 2014. She served as Executive Vice President of Merchandising at Ross Stores Inc. from December 11, 2006 to December 2009. Ms. Rentler served as Senior Vice President and General Merchandising Manager of Ross Stores Inc. from March 2001 to February 08, 2005. She has been Director of Ross Stores Inc. since June 2014.",https://www.bloomberg.com/research/stocks/people/person.asp?personId=1100608&privcapId=33926
